videoid,beeid,colony,sched,caff,flowerid,timin,timeout,totaltime,totaltimeint,notes
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,B1,4:44,4:59,0:15:00,15,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C4,6:54,7:06,0:12:00,12,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C4,10:50,11:00,0:10:00,10,B57_FR45_140
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,C1,3:34,3:59,,0,B19_FR45_1137*
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,C1,4:26,4:30,0:04:00,4,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,C3,6:14,6:40,0:26:00,26,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,C3,6:46,6:50,0:04:00,4,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,C2,7:14,7:20,0:06:00,6,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,B1,7:51,7:53,0:02:00,2,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,B1,7:58,8:14,0:16:00,16,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,A1,8:49,,,0,B19_FR45_1137 equipment blocking flower exit 
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,A1,9:02,,,0,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,A1,9:57,,,0,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,A1,10:20,,,0,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,A1,10:46,,,0,B19_FR45_1137
B19_B3_60523_1137_FR45_1,B19,B3,FR45,No,A1,11:19,,,0,B19_FR45_1137
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,C2,2:30,3:49,0:19:00,19,B72_FR45_406*
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,C2,9:49,9:59,0:10:00,10,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,C2,10:06,10:19,0:13:00,13,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A1,7:02,7:22,0:20:00,20,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A1,11:14,11:23,0:09:00,9,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,B2,4:03,5:22,1:19:00,79,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,B2,5:29,5:34,0:05:00,5,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,B2,8:09,8:41,0:32:00,32,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A3,10:36,10:47,0:11:00,11,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A2,5:45,6:12,0:27:00,27,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A2,6:23,6:39,0:16:00,16,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A2,8:49,9:07,0:18:00,18,B72_FR45_406
B72_B3_60623_406_FR45_1,B72,B3,FR45,No,A2,9:12,9:26,0:14:00,14,B72_FR45_406
B58_B3_61223_1128_FR45_1,B58,B3,FR45,No,C3,1:09,1:26,0:17:00,17,B58_FR45_1128*
B58_B3_61223_1128_FR45_1,B58,B3,FR45,No,C3,1:31,1:42,0:11:00,11,B58_FR45_1128
B58_B3_61223_1128_FR45_1,B58,B3,FR45,No,C3,1:51,2:14,0:23:00,23,B58_FR45_1128
B58_B3_61223_1128_FR45_1,B58,B3,FR45,No,C3,2:18,2:37,0:19:00,19,B58_FR45_1128
B58_B3_61223_1128_FR45_1,B58,B3,FR45,No,C3,2:41,3:04,0:23:00,23,B58_FR45_1128
